date,strategy,equity,benchmark_equity,drawdown,regime
2022-07-06,full_v0,16193.79463658873,12796.166247170442,-0.11569548745926739,2022_rates_inflation_shock
2022-07-07,full_v0,16288.194424311561,13244.7009224307,-0.11054054013904058,2022_rates_inflation_shock
2022-07-08,full_v0,16380.797411515949,13281.035294603174,-0.10548371181082605,2022_rates_inflation_shock
2022-07-11,full_v0,16321.351802148076,13313.782149855242,-0.10872989479600292,2022_rates_inflation_shock
2022-07-12,full_v0,16166.533627049113,12880.564522716491,-0.11718414618894102,2022_rates_inflation_shock
2022-07-13,full_v0,16208.543000720525,13108.772054792275,-0.11489011446010189,2022_rates_inflation_shock
2022-07-14,full_v0,16076.625375614598,12924.696383119419,-0.12209382142210412,2022_rates_inflation_shock
2022-07-15,full_v0,16098.413306755363,13131.246292548962,-0.12090403445375675,2022_rates_inflation_shock
2022-07-18,full_v0,16206.499339648255,13430.425764552845,-0.11500171391834313,2022_rates_inflation_shock
2022-07-19,full_v0,16189.811081232541,13414.625254399398,-0.11591301991885994,2022_rates_inflation_shock
2022-07-20,full_v0,16141.101606204207,13560.732898182889,-0.11857292820704612,2022_rates_inflation_shock
2022-07-21,full_v0,16129.030921136267,13522.50129271758,-0.1192320795372056,2022_rates_inflation_shock
2022-07-22,full_v0,16067.850029868605,13550.484099260715,-0.12257302212931531,2022_rates_inflation_shock
2022-07-25,full_v0,16118.706975149078,13753.40047071378,-0.11979584561109857,2022_rates_inflation_shock
2022-07-26,full_v0,16171.923060079293,13815.234250218644,-0.11688984210175346,2022_rates_inflation_shock
2022-07-27,full_v0,16258.935016516427,14025.288440289281,-0.11213832663245737,2022_rates_inflation_shock
2022-07-28,full_v0,16368.810525344426,14056.255320709448,-0.10613828708306261,2022_rates_inflation_shock
2022-07-29,full_v0,16398.172340368565,14231.021578566868,-0.1045349083750502,2022_rates_inflation_shock
2022-08-01,full_v0,16411.58782826933,14089.737558981311,-0.1038023205687445,2022_rates_inflation_shock
2022-08-02,full_v0,16219.23324649701,13817.330896199,-0.11430634562812259,2022_rates_inflation_shock
2022-08-03,full_v0,16406.239675591492,13952.1955497346,-0.1040943704343198,2022_rates_inflation_shock
2022-08-04,full_v0,16465.35168173752,13959.974304402067,-0.10086640472564279,2022_rates_inflation_shock
2022-08-05,full_v0,16359.133302974855,13887.270507398714,-0.10666673712224839,2022_rates_inflation_shock
2022-08-08,full_v0,16300.969191404984,13982.664193323515,-0.10984294056828614,2022_rates_inflation_shock
2022-08-09,full_v0,16373.412485951258,14039.993301744893,-0.10588698498726101,2022_rates_inflation_shock
2022-08-10,full_v0,16476.552116247258,14252.111163343747,-0.10025477570343688,2022_rates_inflation_shock
2022-08-11,full_v0,16596.31938939833,14469.623518882627,-0.0937145704903305,2022_rates_inflation_shock
